QuestionNumber,Type,Excerpt,Question
1,Dialogue,"Hi Anna, are you coming to the school trip tomorrow? - Yes, I am. I already packed my lunch and my camera. - Great! Don’t forget to bring a jacket because it might be cold in the morning. - Thanks for reminding me. I’m really excited because I’ve never visited the science museum before.","Where are they going tomorrow?"
2,Dialogue,"Excuse me, is this seat free? - Yes, you can sit here. Are you traveling to London too? - No, I’m getting off at the next station. I’m visiting my sister for the weekend. - That sounds nice. I hope you have a good trip. - Thank you very much.","Who is the speaker visiting?"
3,Dialogue,"Do you want to try this new restaurant tonight? - Maybe. What kind of food do they serve? - Mostly Italian food like pasta and pizza. I read good reviews online. - That sounds delicious. Let’s make a reservation for 7 p.m.","What type of food does the restaurant serve?"
4,Dialogue,"Why didn’t you come to football practice yesterday? - I had a headache and stayed at home to rest. - Oh, I hope you feel better now. We practiced for the match on Saturday. - I’m feeling much better today. I’ll definitely come to the next practice.","Why did the person miss practice?"
5,Dialogue,"I’m thinking about buying a bicycle. - That’s a good idea. It’s cheaper than taking the bus every day. - Yes, and I also want to exercise more. - You could ride it to work if the weather is good.","Why does the speaker want to buy a bicycle?"
6,Dialogue,"Can you help me with my homework? - Sure. What subject is it? - It’s math. I don’t understand these fractions. - Let’s look at the first question together and try to solve it step by step.","What subject does the speaker need help with?"
7,Dialogue,"The weather forecast says it will rain tomorrow. - Really? I wanted to go to the beach. - Maybe we can go to the cinema instead. There’s a new comedy film playing. - That’s a good idea.","Why can’t they go to the beach?"
8,Dialogue,"Have you seen my keys? - I think they’re on the kitchen table next to your bag. - Oh yes, you’re right. I was looking for them everywhere. - You should keep them in the same place every day.","Where were the keys?"
9,Dialogue,"What time does the train leave? - It leaves at 8:30 in the morning. We should arrive at the station at least 15 minutes earlier. - Okay, I’ll set my alarm for 7 a.m. so we don’t miss it.","What time does the train leave?"
10,Dialogue,"I heard you started a new job. - Yes, I work at a small hotel near the city center. - What do you do there? - I work at the reception desk and help guests check in and out.","Where does the speaker work?"
11,Monologue,"Last weekend, I visited my grandparents in the countryside. They live in a small house near a river. On Saturday, we went for a long walk and saw many birds and trees. In the evening, my grandmother cooked a big dinner for the whole family. I really enjoy spending time there because it is quiet and peaceful.","Where do the grandparents live?"
12,Monologue,"Every morning, I wake up at seven o’clock. First, I take a shower and get dressed. Then, I eat breakfast with my family. After that, I walk to the bus stop and take the bus to school. Classes start at eight thirty, and I usually arrive just on time.","How does the speaker go to school?"
13,Monologue,"I started learning English two years ago. At first, it was difficult to understand native speakers. However, I practiced every day by listening to music and watching short videos. Now I feel more confident when I speak in class.","How did the speaker practice English?"
14,Monologue,"My favorite hobby is cooking. I like trying new recipes from different countries. Last month, I learned how to make a traditional Spanish dish. My family enjoyed it very much and asked me to cook it again.","What is the speaker’s hobby?"
